,AAPL,MSFT,NVDA,SPY,JPM
0,121.39,235.24,12.95,395.78,152.68
1,119.9,231.85,12.87,394.73,154.48
2,122.15,235.77,13.35,396.33,152.23
3,123.0,242.35,13.81,400.61,153.71
4,125.9,249.07,13.99,406.36,153.62
5,126.21,247.86,13.86,406.12,152.54
6,127.9,249.9,14.14,406.59,154.93
7,130.36,253.25,14.32,408.52,155.12
8,133.0,255.85,14.4,411.49,156.28
9,131.24,255.91,15.21,411.64,155.95
10,134.43,258.49,15.68,412.86,154.09
11,132.03,255.59,15.28,411.45,151.21
12,134.5,259.5,16.14,415.87,152.17
13,134.16,260.74,15.91,417.26,153.3
14,134.84,258.74,15.36,415.21,152.65
15,133.11,258.26,15.17,412.17,149.27
16,133.5,260.58,15.36,416.07,150.54
17,131.94,257.17,14.85,412.27,147.37
18,134.32,261.15,15.27,416.74,150.19
19,134.72,261.55,15.48,417.61,150.56
20,134.39,261.97,15.38,417.52,151.25
21,133.58,254.56,15.28,417.4,152.23
22,133.48,252.51,15.32,420.06,155.19
23,131.46,252.18,15.01,417.3,153.81
24,132.54,251.86,14.84,418.2,153.36
25,127.85,247.79,14.35,415.62,155.48
26,128.1,246.47,14.46,415.75,157.52
27,129.74,249.73,14.52,419.07,160.69
28,130.21,252.46,14.81,422.12,161.24
29,126.85,247.18,14.27,417.94,161.22
30,125.91,246.23,14.31,414.21,158.54
31,122.77,239.0,13.76,405.41,157.45
32,124.97,243.03,13.67,410.28,161.5
33,127.45,248.15,14.24,416.58,164.01
34,126.27,245.18,14.17,415.52,164.67
35,124.85,243.08,14.02,411.94,162.35
36,124.69,243.12,14.07,410.86,161.11
37,127.31,246.48,14.61,415.28,160.83
38,125.43,245.17,14.99,414.94,162.66
39,127.1,250.78,15.61,419.17,163.54
40,126.9,251.72,15.65,418.24,161.85
41,126.85,251.49,15.7,419.07,161.83
42,125.28,249.31,15.49,419.29,164.35
43,124.61,249.68,16.24,420.04,164.24
44,124.28,247.4,16.26,419.67,166.05
45,125.06,247.3,16.78,420.33,166.06
46,123.54,245.71,16.97,418.77,166.17
47,125.89,250.79,17.58,422.6,166.44
48,125.9,253.81,17.62,422.19,165.66
49,126.74,252.57,17.46,422.28,165.0
50,127.13,253.59,17.36,421.65,162.94
51,126.11,257.24,17.43,423.61,160.4
52,127.35,257.89,17.83,424.31,160.29
53,130.48,259.89,18.02,425.26,157.57
54,129.64,258.36,17.79,424.48,155.18
55,130.15,257.38,17.81,422.11,156.27
56,131.79,260.9,18.66,421.97,151.76
57,130.46,259.43,18.64,414.92,147.92
58,132.3,262.63,18.43,420.86,150.43
59,133.98,265.51,18.89,423.11,150.21
60,133.7,265.27,19.06,422.6,151.12
61,133.41,266.69,19.21,425.1,152.51
62,133.11,265.02,19.03,426.61,154.05
63,134.78,268.72,19.99,427.47,154.33
64,136.33,271.4,20.03,427.7,154.14
65,136.96,270.9,20.0,428.06,155.54
66,137.27,271.6,20.21,430.43,157.08
67,139.96,277.65,20.49,433.72,156.03
68,142.02,277.66,20.7,432.93,153.41
69,144.57,279.93,20.37,434.46,153.59
70,143.24,277.42,19.9,430.92,150.94
71,145.11,277.94,20.05,435.52,155.77
72,144.5,277.32,20.51,437.08,158.0
73,145.64,280.98,20.25,435.59,155.65
74,149.15,282.51,19.84,436.24,155.12
75,148.48,281.03,18.97,434.75,155.46
76,146.39,280.75,18.16,431.34,151.91
77,142.45,277.01,18.78,424.97,146.97
78,146.15,279.32,18.61,431.06,149.71
79,145.4,281.4,19.41,434.55,152.86
80,146.8,286.14,19.59,435.46,150.93
81,148.56,289.67,19.56,439.94,150.64
82,148.99,289.05,19.29,441.02,151.65
83,146.77,286.54,19.21,439.01,151.45
84,144.98,286.22,19.5,438.83,151.7
85,145.64,286.5,19.66,440.65,153.0
86,145.86,284.91,19.5,438.51,151.78
87,145.52,284.82,19.75,437.59,151.17
88,147.36,287.12,19.82,441.15,152.89
89,146.95,286.51,20.27,438.98,151.24
90,147.06,289.52,20.64,441.76,153.15
91,146.14,289.46,20.37,442.49,157.5
92,146.09,288.33,20.3,442.13,157.33
93,145.6,286.44,19.94,442.68,159.26
94,145.86,286.95,19.7,443.78,161.16
95,148.89,289.81,19.91,445.11,161.79
96,149.1,292.85,20.19,445.92,159.98
97,151.12,294.6,19.95,446.97,158.93
98,150.19,293.08,19.46,444.04,157.01
99,146.36,290.73,19.04,439.18,155.58
100,146.7,296.77,19.8,439.86,154.28
101,148.19,304.36,20.82,443.36,154.72
102,149.71,304.65,21.96,447.26,156.7
